beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Urban Saison","Cervejaria Tarantino","Farmhouse Ale - Saison",6,25,,"Cervejaria Tarantino","São Paulo",SP,Brasil,-23.5064,-46.6826,4.25,"2018-10-20 18:32:28",https://untappd.com/c/666327006,https://untappd.com/beer/2955537,https://untappd.com/brewery/260420,Brazil,"São Paulo","São Paulo",,"Cervejaria Tarantino",Draft,666327006,2955537,260420,,3.56,3.58,,0,0
Iniciação,"Cervejaria Invicta",Hefeweizen,4.5,15,,,,,,,,,"2018-10-27 23:09:27",https://untappd.com/c/669269941,https://untappd.com/beer/1013270,https://untappd.com/brewery/27854,Brazil,"Ribeirão Preto","São Paulo",,,Bottle,669269941,1013270,27854,,3.54,3.55,,0,0
"Black Princess Let's Hop","Cervejaria Petrópolis","IPA - English",5.5,46,,,,,,,,,"2018-11-04 13:24:35",https://untappd.com/c/672144774,https://untappd.com/beer/2558730,https://untappd.com/brewery/2301,Brazil,Petrópolis,"Rio de Janeiro",,,Bottle,672144774,2558730,2301,https://untappd.s3.amazonaws.com/photos/2018_11_04/c36d41b3642f45da24eeb02f8873a615_raw.jpg,3.39,3.4,,1,0
"Black Princess Doctor Weiss","Cervejaria Petrópolis",Kristallweizen,5.2,16,,,,,,,,4.5,"2018-11-05 22:33:38",https://untappd.com/c/672632297,https://untappd.com/beer/2551251,https://untappd.com/brewery/2301,Brazil,Petrópolis,"Rio de Janeiro",,,Bottle,672632297,2551251,2301,,3.22,3.25,,0,0
"IPA da Casa","Choperia São Paulo","IPA - International",5.5,55,,"Choperia São Paulo","São Paulo",SP,Brasil,-23.565,-46.6811,,"2018-11-16 18:06:59",https://untappd.com/c/676328838,https://untappd.com/beer/2386339,https://untappd.com/brewery/369971,Brazil,"São Paulo","São Paulo",,"Choperia São Paulo",Draft,676328838,2386339,369971,,3.43,3.58,,1,0
Carmen,ZalaZ,"Fruit Beer",6,0,,"La Guapa","São Paulo",SP,Brasil,-23.6076,-46.6934,,"2018-11-17 21:30:29",https://untappd.com/c/677180437,https://untappd.com/beer/2672545,https://untappd.com/brewery/73491,Brazil,Paraisópolis,"Minas Gerais",,"La Guapa",Bottle,677180437,2672545,73491,https://untappd.s3.amazonaws.com/photos/2018_11_17/c3df72d1508e886d783f7a09e5677e52_raw.jpg,3.69,3.69,,1,0
"Duosat P.06","Cervejaria Satélite","IPA - Imperial / Double New England",8,80,,"Cerveja a Granel","São Paulo",SP,Brasil,-23.5395,-46.6544,,"2018-11-25 15:08:39",https://untappd.com/c/680606159,https://untappd.com/beer/2820666,https://untappd.com/brewery/226385,Brazil,"São Paulo","São Paulo",,"Cerveja a Granel",Draft,680606159,2820666,226385,,4.2,4.11,,0,0
"Even Mo’ Ever Mais","Sand City Brewing Co.","IPA - Imperial / Double",8.7,0,,"Cerveja a Granel","São Paulo",SP,Brasil,-23.5395,-46.6544,,"2018-11-25 15:10:09",https://untappd.com/c/680606640,https://untappd.com/beer/2730139,https://untappd.com/brewery/199873,"United States",Northport,NY,,"Cerveja a Granel",Draft,680606640,2730139,199873,,4.27,4.21,,0,0
"Green Force #5 (Simcoe)",Croma,"IPA - New England",7,45,,"Cerveja a Granel","São Paulo",SP,Brasil,-23.5395,-46.6544,3.75,"2018-11-25 15:20:05",https://untappd.com/c/680609950,https://untappd.com/beer/2933059,https://untappd.com/brewery/315257,Brazil,"São Paulo","São Paulo",,"Cerveja a Granel",Draft,680609950,2933059,315257,,4.07,3.94,,0,0
"Dead End","Cervejaria Treze","IPA - American",6.5,62,,,,,,,,,"2018-12-16 21:58:31",https://untappd.com/c/688733201,https://untappd.com/beer/2930715,https://untappd.com/brewery/68572,Brazil,"São Paulo","São Paulo",,"Cerveja a Granel",Draft,688733201,2930715,68572,,3.84,3.78,,0,0
"Hoppy Revolution","Cervejaria Kill Brew","IPA - American",6.4,46,,"Schaefer Pub",Florianópolis,SC,Brasil,-27.6652,-48.5445,,"2018-12-25 20:45:29",https://untappd.com/c/692695622,https://untappd.com/beer/2224043,https://untappd.com/brewery/354410,Brazil,Florianópolis,"Santa Catarina",,"Schaefer Pub",Draft,692695622,2224043,354410,,3.83,3.78,,1,0
"Roleta Russa - Easy IPA","Cervejaria Imigração","IPA - Session / India Session Ale",4.6,30,,,,,,,,,"2018-12-31 12:02:54",https://untappd.com/c/695758153,https://untappd.com/beer/2544322,https://untappd.com/brewery/106396,Brazil,"Campo Bom","Rio Grande do Sul",,,Can,695758153,2544322,106396,https://untappd.s3.amazonaws.com/photos/2018_12_31/57b99cbba67dc10cff836b25e0c208ff_raw.jpg,3.66,3.66,,1,0
Serothonina,"Doktor Bräu","Pale Ale - New England",5.5,40,,"São Paulo Tap House","São Paulo",SP,Brasil,-23.5557,-46.689,,"2019-01-05 16:29:20",https://untappd.com/c/697895640,https://untappd.com/beer/2544499,https://untappd.com/brewery/246219,Brazil,Congonhal,"Minas Gerais",,"São Paulo Tap House",Draft,697895640,2544499,246219,,3.73,3.72,,0,0
"Vert Mont","Cervejaria Antuérpia","IPA - Imperial / Double New England",8.1,60,,"São Paulo Tap House","São Paulo",SP,Brasil,-23.5557,-46.689,5,"2019-01-05 16:29:47",https://untappd.com/c/697895915,https://untappd.com/beer/2322282,https://untappd.com/brewery/28946,Brazil,"Matias Barbosa","Minas Gerais",,"São Paulo Tap House",Draft,697895915,2322282,28946,,3.98,3.95,,0,0
"Red IPA","Cervejaria Bragantina","Red Ale - Imperial / Double",6.7,65,,"São Paulo Tap House","São Paulo",SP,Brasil,-23.5557,-46.689,,"2019-01-05 16:30:41",https://untappd.com/c/697896512,https://untappd.com/beer/1532989,https://untappd.com/brewery/201964,Brazil,"Bragança Paulista","São Paulo",,"São Paulo Tap House",Draft,697896512,1532989,201964,,3.83,3.79,,0,0
Shadowplay,"X Craft Beer","IPA - New England",7,55,,"São Paulo Tap House","São Paulo",SP,Brasil,-23.5557,-46.689,,"2019-01-05 17:56:13",https://untappd.com/c/697960143,https://untappd.com/beer/2028440,https://untappd.com/brewery/390244,Brazil,"São Paulo","São Paulo",,"São Paulo Tap House",Draft,697960143,2028440,390244,,3.93,3.9,,1,0
Estigma,"Cervejaria Dogma","IPA - New England",6,0,,"Cervejaria Dogma","São Paulo",SP,Brasil,-23.5409,-46.6521,,"2019-01-11 21:24:59",https://untappd.com/c/699844523,https://untappd.com/beer/1789415,https://untappd.com/brewery/48736,Brazil,"São Paulo","São Paulo",,"Cervejaria Dogma",Draft,699844523,1789415,48736,https://untappd.s3.amazonaws.com/photos/2019_01_11/27246b88055b0b79258ace9fe26c65be_raw.jpg,4.23,4.19,,0,0
